	0	30	60	90	120	150	180	210	240	270	300	330	360	390	420	450	480	510	540	570	600	630	660	690	720	750	780	810	840	870	900	930	960	990	1020	1050	1080	1110				
0	0			1																																			-1	0	0=ñ{ãíín	30
30																																							-1	30	1=ÉGÉlÉãÉMÅ[	
60																																				2			-1	60	2=çUåÇ	
90	1			1				3														2					1												-1	90	3=ñhå‰	
120																	2																						-1	120		
150																																							-1	150		
180																															2								-1	180		
210																																							-1	210		
240																																							-1	240		
270																																							-1	270		
300								3																															-1	300		
330																									1														-1	330		
360																	3																						-1	360		
390																																							-1	390		
420	2																														3								-1	420		
450																																							-1	450		
480																																				2			-1	480		
510							2				1									3																			-1	510		
540																																							-1	540		
570																																							-1	570		
600																																							-1	600		
630			1																																				-1	630		
660														2																									-1	660		
690																															3				1			1	-1	690		
720																																							-1	720		
750																																							-1	750		
780																																			1			0	-1	780		
-1	0	30	60	90	120	150	180	210	240	270	300	330	360	390	420	450	480	510	540	570	600	630	660	690	720	750	780	810	840	870	900	930	960	990	1020	1050	1080	1110	-1			
